timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751093066250,319,Select Pet-79,200,,Thread Group 1-5,text,true,,3928,630,3,3,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,319,0,0
1751093066136,319,Select Pet,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,3928,630,3,3,null,319,114,0
1751093066365,241,Payment Confirmation-86,500,,Thread Group 1-4,text,false,,15419,621,3,3,https://petstore.octoperf.com/actions/Order.action?newOrder=&confirmed=true,232,0,0
1751093066287,241,Payment Confirmation,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-4,,false,,15419,621,3,3,null,232,78,0
1751093066442,440,Sign Out-87,200,,Thread Group 1-6,text,true,,5278,1255,3,3,https://petstore.octoperf.com/actions/Catalog.action,214,0,0
1751093066442,214,Sign Out-87-0,302,,Thread Group 1-6,,true,,230,632,3,3,https://petstore.octoperf.com/actions/Account.action?signoff=,214,0,0
1751093066656,226,Sign Out-87-1,200,,Thread Group 1-6,text,true,,5048,623,3,3,https://petstore.octoperf.com/actions/Catalog.action,226,0,0
1751093066659,228,Select Pet type-80,200,,Thread Group 1-5,text,true,,4106,662,3,3,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,227,0,0
1751093066569,228,Select Pet type,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,4106,662,3,3,null,227,90,0
1751093066883,248,Sign Out-88,200,,Thread Group 1-6,text,true,,4973,623,3,3,https://petstore.octoperf.com/actions/Catalog.action,248,0,0
1751093066396,688,Sign Out,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-6,,true,,10251,1878,3,3,null,462,47,0
1751093062761,3687,Transaction Controller,,"Number of samples in transaction : 19, number of failing samples : 1",Thread Group 1-6,,false,,59728,8554,3,3,null,3289,683,652
1751093066704,458,Sign Out-87,200,,Thread Group 1-4,text,true,,5278,1255,3,3,https://petstore.octoperf.com/actions/Catalog.action,228,0,0
1751093066704,228,Sign Out-87-0,302,,Thread Group 1-4,,true,,230,632,3,3,https://petstore.octoperf.com/actions/Account.action?signoff=,228,0,0
1751093066933,229,Sign Out-87-1,200,,Thread Group 1-4,text,true,,5048,623,3,3,https://petstore.octoperf.com/actions/Catalog.action,220,0,0
1751093066958,232,Select sub type-81,200,,Thread Group 1-5,text,true,,3807,655,3,3,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-1,232,0,0
1751093066887,232,Select sub type,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,3807,655,3,3,null,232,71,0
1751093067163,231,Sign Out-88,200,,Thread Group 1-4,text,true,,4973,623,3,3,https://petstore.octoperf.com/actions/Catalog.action,230,0,0
1751093066607,689,Sign Out,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,10251,1878,3,3,null,458,98,0
1751093063769,2977,Transaction Controller,,"Number of samples in transaction : 19, number of failing samples : 1",Thread Group 1-4,,false,,59171,8607,3,3,null,2737,648,0
1751093067246,259,Add pet to cart-83,200,,Thread Group 1-5,text,true,,4664,655,2,2,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-1,258,0,0
1751093067207,298,Sign In-76,200,,Thread Group 1-6,text,true,,4097,612,2,2,https://petstore.octoperf.com/actions/Account.action?signonForm=,297,0,0
1751093067190,259,Add pet to cart,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,4664,655,2,2,null,258,56,0
1751093067505,231,Sign In-77,200,,Thread Group 1-6,text,true,,4175,963,2,2,https://petstore.octoperf.com/actions/Account.action,230,0,0
1751093067132,529,Sign In,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-6,,true,,8272,1575,2,2,null,527,75,0
1751093067582,234,Proceed to checkout-84,200,,Thread Group 1-5,text,true,,4224,644,2,2,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,234,0,0
1751093067505,234,Proceed to checkout,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,4224,644,2,2,null,234,78,0
1751093067753,219,Select Pet-79,200,,Thread Group 1-6,text,true,,3928,630,2,2,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,219,0,0
1751093067736,219,Select Pet,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,3928,630,2,2,null,219,17,0
1751093067867,240,Payment Address-85,200,,Thread Group 1-5,text,true,,4504,1287,2,2,https://petstore.octoperf.com/actions/Order.action,239,0,0
1751093067817,240,Payment Address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,4504,1287,2,2,null,239,50,0
1751093068084,220,Select Pet type-80,200,,Thread Group 1-6,text,true,,4106,662,2,2,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,220,0,0
1751093067972,220,Select Pet type,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,4106,662,2,2,null,220,112,0
1751093068133,450,Payment Confirmation-86,500,,Thread Group 1-5,text,false,,15419,621,2,2,https://petstore.octoperf.com/actions/Order.action?newOrder=&confirmed=true,233,0,0
1751093068107,450,Payment Confirmation,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-5,,false,,15419,621,2,2,null,233,26,0
